d.kode_rs,d.nama_rs,d.nama_prop,d.kelas,d.pemilik,d.akreditasi
3172748,RS Ibu dan Anak Bunda Aliyah,DKI JAKARTA,B,Perusahaan,Tingkat Paripurna
1903005,RS Gunung Manik,KEPULAUAN BANGKA BELITUNG,D,Perusahaan,Tingkat Madya
1275932,RS Gigi dan Mulut Prima,SUMATERA UTARA,C,SWASTA/ LAINNYA,Tingkat Madya
3216446,RSIA Aisyah Qurrataain,JAWA BARAT,C,SWASTA/ LAINNYA,Tingkat Madya
3603193,RS Siloam Hospitals Kelapa Dua,BANTEN,C,Perusahaan,Tingkat Utama
1674006,RS Ibu dan Anak Dwisari,SUMATERA SELATAN,C,Perorangan,Tingkat Madya
1674005,RS Ibu dan Anak Dwi Sari,SUMATERA SELATAN,C,Perorangan,Tingkat Madya
9271079,RS Provita Jayapura,PAPUA,C,Perorangan,Tingkat Paripurna
1610005,RS Ar-Royyan,SUMATERA SELATAN,D,SWASTA/ LAINNYA,Tingkat Madya
3514058,RS Umum Daerah Grati,JAWA TIMUR,D,Pemkab,Tingkat Madya
1503039,RS Langit Golden Medika,JAMBI,C,SWASTA/ LAINNYA,Tingkat Madya
1111005,RSU Prima Inti Medika,ACEH,D,Perusahaan,Tingkat Madya
3171803,RS Umum Daerah Kebayoran Lama,DKI JAKARTA,D,Pemprop,Tingkat Madya
3172771,RSUD CIPAYUNG,DKI JAKARTA,D,Pemprop,Tingkat Utama
3528029,RSU Kusuma Hospital,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
3512039,RS Ibu dan Anak Jatimed,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Dasar
3276155,RS Ibu dan Anak Brawijaya Bojongsari,JAWA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
3216444,RS Cenka,JAWA BARAT,C,Perorangan,Lulus Perdana
7202017,RS Claire Medika,SULAWESI TENGAH,D,Perusahaan,Lulus Perdana
3216443,RS Grha MM2100,JAWA BARAT,C,SWASTA/ LAINNYA,Tingkat Utama
1502019,RS Merangin Medical Centre,JAMBI,D,SWASTA/ LAINNYA,Lulus Perdana
1803036,RS Airan Raya,LAMPUNG,C,SWASTA/ LAINNYA,Lulus Perdana
7371433,RS Khusus Daerah Gigi dan Mulut Provinsi Sulawesi ,SULAWESI SELATAN,C,Pemprop,Tingkat Paripurna
1273108,RS Rasyida Siantar,SUMATERA UTARA,C,SWASTA/ LAINNYA,Lulus Perdana
6308014,RS Mulia Amuntai,KALIMANTAN SELATAN,D,SWASTA/ LAINNYA,Lulus Perdana
1806039,RS Medika Insani,LAMPUNG,D,SWASTA/ LAINNYA,Lulus Perdana
5272005,RSUD Kota Bima,NUSA TENGGARA BARAT,D,Pemkot,Tingkat Dasar
7371432,RS Ibu Dan Anak Sayang Bunda,SULAWESI SELATAN,C,SWASTA/ LAINNYA,Lulus Perdana
3603192,RS Mitra Keluarga Gading Serpong,BANTEN,C,SWASTA/ LAINNYA,Tingkat Utama
3208061,RS Jantung Hasna Medika Kuningan,JAWA BARAT,C,Perusahaan,Tingkat Utama
2171062,RS Keluarga Husada Batam,KEPULAUAN RIAU,C,Perusahaan,Lulus Perdana
6271027,RS Awal Bros Betang Pambelum,KALIMANTAN TENGAH,C,Perusahaan,Lulus Perdana
7604027,RS Bhayangkara Tkt. IV Polda Sulbar,SULAWESI BARAT,C,POLRI,Tingkat Dasar
3273546,RS Ibu dan Anak Al Islam ,JAWA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
3514057,RS Graha Sehat Medika,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
3314096,RS Umum Rizky Amalia,JAWA TENGAH,D,Perusahaan,Lulus Perdana
1509029,RS Ibu dan Anak Moelia,JAMBI,C,Perorangan,Lulus Perdana
6111002,RS Umum Daerah Sultan Muhammad Jamaludin I,KALIMANTAN BARAT,D,Pemkab,Tingkat Utama
1207068,RS Umum Hartati Medical Centre,SUMATERA UTARA,C,SWASTA/ LAINNYA,Lulus Perdana
1871448,RS Mata Lampung Eye Center (LEC),LAMPUNG,C,SWASTA/ LAINNYA,Tingkat Utama
6472130,RS Hermina Samarinda,KALIMANTAN TIMUR,C,Perusahaan,Lulus Perdana
1207067,RS Umum Karya Bakti Ujung Bandar,SUMATERA UTARA,C,Perusahaan,Lulus Perdana
7403126,RS Umum Setia Bunda,SULAWESI TENGGARA,D,SWASTA/ LAINNYA,Lulus Perdana
3509140,RS Siloam Jember,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Utama
7318056,RS Sinar Kasih,SULAWESI SELATAN,D,Perorangan,Lulus Perdana
5271103,RS Mata Nusa Tenggara Barat,NUSA TENGGARA BARAT,C,Pemprop,Tingkat Madya
3306111,RS Amanah Umat Purworejo,JAWA TENGAH,D,Perusahaan,Tingkat Madya
1275930,RSU HERMINA MEDAN,SUMATERA UTARA,C,SWASTA/ LAINNYA,Tingkat Paripurna
3372238,RS PKU Muhammadiyah Sampangan Surakarta,JAWA TENGAH,D,Organisasi Islam ,Lulus Perdana
3603191,RS Umum Daerah Pakuhaji,BANTEN,D,Pemkab,Tingkat Dasar
3673011,RS Mata Achmad Wardi BWI-DD,BANTEN,C,SWASTA/ LAINNYA,Lulus Perdana
3526029,RSU Anna Medika Madura,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Utama
3527013,RS Nindhita,JAWA TIMUR,D,Perorangan,Tingkat Madya
1309023,RS Islam Ibnu Sina Panti Yarsi ,SUMATERA BARAT,D,SWASTA/ LAINNYA,Tingkat Madya
3302232,RS Hermina Purwokerto,JAWA TENGAH,C,Perusahaan,Lulus Perdana
5202024,RS Cahaya Medika,NUSA TENGGARA BARAT,D,Perusahaan,Tingkat Dasar
7173002,RS Umum Daerah Anugerah,SULAWESI UTARA,D,Pemkot,Tingkat Madya
5305025,RS Umum Leona,NUSA TENGGARA TIMUR,C,Perusahaan,Lulus Perdana
1174023,RS Ibu dan Anak ABBY,ACEH,C,SWASTA/ LAINNYA,Lulus Perdana
1275928,RS Khusus Mata Prima Vision,SUMATERA UTARA,C,Perusahaan,Lulus Perdana
3276154,RS Ibu dan Anak Bunda Aliyah,JAWA BARAT,C,Perusahaan,Tingkat Utama
7305013,RS Maryam Citra Medika,SULAWESI SELATAN,D,SWASTA/ LAINNYA,Tingkat Paripurna
3201252,RS Harapan Sehati,JAWA BARAT,C,Perusahaan,Tingkat Dasar
3403025,RS Bethesda Wonosari,D I YOGYAKARTA,D,Organisasi Protestan,Lulus Perdana
3217008,RS Ibu dan Anak Kartini,JAWA BARAT,C,SWASTA/ LAINNYA,Tingkat Dasar
5318002,RS Daerah Aeramo Kabupaten Nagekeo,NUSA TENGGARA TIMUR,D,Pemkab,Tingkat Dasar
