d.kode_rs,d.nama_rs,d.nama_prop,d.jenis_rs,d.kelas,d.pemilik,(d.total_tt)
1703045,RS Hana Charitas Arga Makmur,BENGKULU,RSU,D,Organisasi Katholik,63
9219044,RS Hendrik Fintay Kabupaten Sarmi,PAPUA,RSU,Belum Ditetapkan,Pemkab,25
9213039,RS Umum Daerah Boven Digoel,PAPUA,RSU,Belum Ditetapkan,Pemkab,98
9230002,RS Umum Daerah Tiom,PAPUA,RSU,Belum Ditetapkan,Pemkab,13
9211014,RS Immanuel,PAPUA,RSU,Belum Ditetapkan,Organisasi Protestan,0
9202024,RS Efata Angguruk,PAPUA,RSU,Belum Ditetapkan,Organisasi Protestan,0
9271034,RS TK IV dr.Aryoko,PAPUA BARAT,RSU,Belum Ditetapkan,TNI AD,26
9102022,RS Pembantu Manokwari,PAPUA BARAT,RSU,Belum Ditetapkan,TNI AD,22
8208001,RS Umum Daerah Bobong,MALUKU UTARA,RSU,Belum Ditetapkan,Pemkab,0
8204012,RS Umum Obi,MALUKU UTARA,RSU,Belum Ditetapkan,Pemkab,25
8204011,RS Pratama Bisui Kab. Halmahera Selatan,MALUKU UTARA,RSU,Belum Ditetapkan,Pemkab,11
8171052,RS Lanu Patimura,MALUKU,RSU,Belum Ditetapkan,TNI AU,0
7602045,RS Bersalin dan Klinik Spesialis,SULAWESI BARAT,RSIA,Belum Ditetapkan,Perorangan,0
7603022, RS Banua Mamase,SULAWESI BARAT,RSU,Belum Ditetapkan,Organisasi Sosial,0
7471125, RS Mitra Sakinah Idaman,SULAWESI TENGGARA,RSU,Belum Ditetapkan,Organisasi Sosial,0
7404023, RS  Antam Nikel Pomalaa,SULAWESI TENGGARA,RSU,Belum Ditetapkan,BUMN,60
7471055, RS  PMI Kendari,SULAWESI TENGGARA,RSU,Belum Ditetapkan,Organisasi Sosial,0
7315017,RS Umum Ddela Medical,SULAWESI SELATAN,RSU,Belum Ditetapkan,Perorangan,0
7372076,RS Bersalin Sitti Khadijah Pare-Pare,SULAWESI SELATAN,RSIA,Belum Ditetapkan,Organisasi Islam ,11
7371201, RS Bersalin Restu Makassar,SULAWESI SELATAN,RSIA,Belum Ditetapkan,Organisasi Sosial,0
7171101,RS Gigi dan Mulut PS. Pendidikan Dokter Gigi Fak. ,SULAWESI UTARA,RSK GM,Belum Ditetapkan,Kementerian Lain,0
7171095,RS Ibu dan Anak Kirana Manado,SULAWESI UTARA,RSIA,Belum Ditetapkan,Perorangan,27
9203017,RS Angkatan Udara Tkt. IV Lanud Silas Papare,PAPUA,RSU,D PRATAMA,TNI AU,20
9234003,RSUD Pratama Dogiyai,PAPUA,RSU,D PRATAMA,Pemkab,25
9226002,RS Umum Daerah Rumah Rodo Fabo ,PAPUA,RSU,D PRATAMA,Pemkab,14
9231002,RSUD Lukas Enembe Kabupaten Memberamo Tengah,PAPUA,RSU,D PRATAMA,Pemkab,30
9218002,RS Umum Daerah Karubaga,PAPUA,RSU,D PRATAMA,Pemkab,20
9228002,Rumah Sakit Umum Daerah Kawera,PAPUA,RSU,D PRATAMA,Pemkab,29
9227011,RS Umum Daerah Supiori,PAPUA,RSU,D PRATAMA,Pemkab,48
8107024,RS Umum Goran Riun,MALUKU,RSU,D PRATAMA,Pemkab,30
7301017,RS Pratama Jampea,SULAWESI SELATAN,RSU,D PRATAMA,Pemkab,30
7316026,RS Umum Hj. Puang Sabbe,SULAWESI SELATAN,RSU,D PRATAMA,Pemkab,19
7310021,RSU Kelas D Pratama Kab. Pangkajene Kepulauan,SULAWESI SELATAN,RSU,D PRATAMA,Pemkab,24
7209004,RS Umum Daerah Pratama Togean,SULAWESI TENGAH,RSU,D PRATAMA,Pemkab,35
7201014,RS Pratama Bilabanggai Buko Selatan,SULAWESI TENGAH,RSU,D PRATAMA,Pemkab,20
7203018,RS Umum Pratama Paku,SULAWESI TENGAH,RSU,D PRATAMA,Pemkab,5
7206014,RS Umum Hj. Zubaeda Bantilan,SULAWESI TENGAH,RSU,D PRATAMA,Pemkab,36
7103039,RS Umum Liung Paduli,SULAWESI UTARA,RSU,D PRATAMA,Pemkab,0
6501013,RS Pratama Long Ampung,KALIMANTAN UTARA,RSU,D PRATAMA,Pemkab,19
6503002,RS Umum Daerah Akhmad Berahim,KALIMANTAN UTARA,RSU,D PRATAMA,Pemkab,13
6408014,RS Pratama Langap,KALIMANTAN UTARA,RSU,D PRATAMA,Pemkab,10
6504027,RS Pratama Sebatik,KALIMANTAN UTARA,RSU,D PRATAMA,Pemkab,30
6401018,RS Pratama Batu Engau,KALIMANTAN TIMUR,RSU,D PRATAMA,Pemkab,50
6411002,RS Nawacita Datah Dave,KALIMANTAN TIMUR,RSU,D PRATAMA,Pemkab,50
6411001,RS Gerbang Sehat Mahulu,KALIMANTAN TIMUR,RSU,D PRATAMA,Pemkab,35
6405012,RS Umum Daerah Talisayan,KALIMANTAN TIMUR,RSU,D PRATAMA,Pemkab,50
9235002,RS Umum Daerah Kabupaten Intan Jaya,PAPUA,RSU,D,Pemkab,30
9229002,RS Pratama Elvrida Sara,PAPUA,RSU,D,Pemkab,2
9236003,RS Umum Daerah Pratama Waghete,PAPUA,RSU,D,Pemkab,10
9212013,RS Kasih Herlina,PAPUA,RSU,D,SWASTA/ LAINNYA,50
9201035,RS TNI Angkatan Laut Merauke,PAPUA,RSU,D,TNI AL,46
9212012,RS Waa Banti,PAPUA,RSU,D,Perusahaan,0
9201034,RS Umum Bunda pengharapan,PAPUA,RSU,D,Organisasi Sosial,64
9215011,RS Umum Daerah Agats Kab. Asmat,PAPUA,RSU,D,Pemkab,60
9202014,RS Umum Daerah Dekai,PAPUA,RSU,D,Pemkab,75
